Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
73,Antoine Colassin,be BEL,"MF,FW",Charleroi,24,2001,29,6,630,7.0,2,2,4,2,0,0,2,0,0.29,0.29,0.57,0.29,0.57
74,Kobe Cools,be BEL,DF,Dender,28,1997,19,15,1325,14.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
75,Colin Coosemans,be BEL,GK,Anderlecht,32,1992,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
76,Jo Coppens,be BEL,GK,Sint-Truiden,34,1990,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
77,Antonio Cordero,es ESP,MF,Westerlo,18,2006,7,0,92,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
78,Coba da Costa,es ESP,MF,Anderlecht,23,2002,5,2,147,1.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
79,Mihajlo Cvetković,rs SRB,"FW,MF",Anderlecht,18,2007,29,19,1622,18.0,9,2,11,9,0,0,4,1,0.50,0.11,0.61,0.50,0.61
80,Amine Daali,be BEL,MF,Dender,21,2004,5,0,110,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
81,Gabriel David,ng NGA,FW,Antwerp,18,2007,8,0,118,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
82,Promise David,ca CAN,FW,Union SG,24,2001,24,17,1489,16.5,9,1,10,9,0,1,1,0,0.54,0.06,0.60,0.54,0.60
83,Nathan De Cat,be BEL,MF,Anderlecht,17,2008,36,34,2725,30.3,2,4,6,2,0,0,8,0,0.07,0.13,0.20,0.07,0.20
84,Luc De Fougerolles,ca CAN,DF,Dender,19,2005,27,18,1650,18.3,0,1,1,0,0,0,6,2,0.00,0.05,0.05,0.00,0.05
85,Benoit De Jaegere,be BEL,DF,Zulte Waregem,21,2004,17,10,931,10.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
86,Bo De Kerf,be BEL,DF,Dender,21,2003,8,5,459,5.1,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00
87,Gilles De Meyer,be BEL,DF,Gent,18,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
88,Kamiel Van De Perre,be BEL,MF,Union SG,21,2004,30,25,2201,24.5,0,3,3,0,0,0,9,0,0.00,0.12,0.12,0.00,0.12
89,Alexander De Ridder,be BEL,MF,Anderlecht,17,2008,1,0,36,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
90,Celestin De Schrevel,be BEL,GK,La Louvière,23,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
91,Tibe De Vlieger,be BEL,MF,Gent,19,2005,24,17,1565,17.4,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
92,August De Wannemacker,be BEL,MF,Genk,16,2008,3,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
93,Nils De Wilde,be BEL,MF,Cercle Brugge,22,2003,10,0,99,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
94,Ortwin De Wolf,be BEL,GK,Mechelen,28,1997,8,7,675,7.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
95,Max Dean,eng ENG,"FW,MF",Gent,21,2004,23,11,1180,13.1,7,1,8,5,2,3,2,1,0.53,0.08,0.61,0.38,0.46
96,Massimo Decoene,be BEL,DF,Mechelen,21,2004,8,2,242,2.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
97,Tristan Degreef,be BEL,MF,Anderlecht,20,2005,34,21,1884,20.9,4,2,6,4,0,0,3,1,0.19,0.10,0.29,0.19,0.29
98,Maxime Delanghe,be BEL,GK,Cercle Brugge,24,2001,18,17,1591,17.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
99,Martin Delavallée,be BEL,GK,Charleroi,21,2004,21,21,1890,21.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
100,Mathias Delorge,be BEL,MF,Gent,21,2004,19,18,1269,14.1,0,3,3,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21
101,Isaías Delpupo,ar ARG,MF,Sint-Truiden,22,2003,4,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
102,Dani van den Heuvel,nl NED,GK,Club Brugge,22,2003,10,8,764,8.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
103,Anthony Descotte,be BEL,FW,Charleroi,21,2003,3,1,93,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
104,Enis Destan,tr TUR,FW,Westerlo,23,2002,3,1,97,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
105,Niels Devalckeneer,be BEL,GK,Antwerp,21,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
106,Ibrahima Diaby,gn GUI,"MF,DF",Cercle Brugge,18,2007,26,10,1018,11.3,2,1,3,2,0,0,6,1,0.18,0.09,0.27,0.18,0.27
107,Mamadou Diakhon,sn SEN,"MF,FW",Club Brugge,19,2005,23,8,802,8.9,0,7,7,0,0,0,1,0,0.00,0.79,0.79,0.00,0.79
108,Ibrahim Diakité,gn GUI,"DF,MF",Cercle Brugge,21,2003,19,10,859,9.5,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10
109,Oumar Diakité,ci CIV,FW,Cercle Brugge,21,2003,25,15,1424,15.8,7,0,7,6,1,1,4,1,0.44,0.00,0.44,0.38,0.38
110,Moussa Diarra,ml MLI,DF,Anderlecht,24,2000,12,12,966,10.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
111,Mahamadou Diawara,fr FRA,MF,Antwerp,20,2005,8,6,398,4.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
112,Daan Dierckx,be BEL,DF,Standard Liège,22,2003,20,16,1317,14.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
113,Xander Dierckx,be BEL,MF,Antwerp,16,2009,19,16,1355,15.1,1,0,1,1,0,0,4,1,0.07,0.00,0.07,0.07,0.07
114,Guillaume Dietsch,fr FRA,GK,Dender,24,2001,14,13,1195,13.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
115,Edan Diop,fr FRA,MF,Cercle Brugge,20,2004,33,31,2597,28.9,7,3,10,6,1,1,6,0,0.24,0.10,0.35,0.21,0.31
116,Moctar Diop,sn SEN,FW,Gent,20,2005,3,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
117,Gora Diouf,sn SEN,DF,Mechelen,21,2003,18,9,929,10.3,1,1,2,1,0,0,5,1,0.10,0.10,0.19,0.10,0.19
118,Oumar Diouf,sn SEN,FW,Sint-Truiden,22,2003,16,0,204,2.3,3,0,3,3,0,0,1,0,1.32,0.00,1.32,1.32,1.32
119,Alouis Diriken,be BEL,DF,Sint-Truiden,21,2004,7,0,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
120,Kasper Dolberg,dk DEN,FW,Anderlecht,27,1997,3,1,123,1.4,1,0,1,0,1,1,0,0,0.73,0.00,0.73,0.00,0.00
121,Mahamadou Doumbia,ml MLI,MF,Antwerp,21,2004,6,6,526,5.8,2,1,3,1,1,2,2,0,0.34,0.17,0.51,0.17,0.34
122,Vetle Dragsnes,no NOR,DF,Charleroi,31,1994,2,1,94,1.0,1,0,1,1,0,0,0,0,0.96,0.00,0.96,0.96,0.96
123,Noë Dussenne,be BEL,DF,OH Leuven,33,1992,23,22,1869,20.8,1,0,1,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05
124,Jean-Kevin Duverne,ht HAI,"DF,MF",Gent,28,1997,22,12,1157,12.9,1,1,2,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16
125,Dennis Eckert,,"FW,MF",Standard Liège,28,1997,35,23,1979,22.0,5,0,5,4,1,1,2,0,0.23,0.00,0.23,0.18,0.18
126,Anosike Ementa,dk DEN,FW,Zulte Waregem,23,2002,32,29,2615,29.1,4,8,12,4,0,0,5,0,0.14,0.28,0.41,0.14,0.41
127,Theo Epailly,fr FRA,FW,La Louvière,26,1999,4,1,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
128,Matthieu Epolo,be BEL,GK,Standard Liège,20,2005,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
129,Jusef Erabi,se SWE,FW,Genk,22,2003,15,4,463,5.1,1,0,1,1,0,0,2,0,0.19,0.00,0.19,0.19,0.19
130,Jeppe Erenbjerg,dk DEN,"MF,FW",Zulte Waregem,25,2000,34,31,2676,29.7,14,3,17,13,1,2,2,0,0.47,0.10,0.57,0.44,0.54
131,Hatim Es-Saoubi,ma MAR,DF,Gent,24,2000,10,2,198,2.2,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
132,Wagane Faye,sn SEN,DF,La Louvière,31,1993,27,26,2302,25.6,3,1,4,3,0,0,6,0,0.12,0.04,0.16,0.12,0.16
133,Andrés Ferrari,uy URU,"FW,MF",Sint-Truiden,22,2003,20,10,867,9.6,3,1,4,2,1,2,4,0,0.31,0.10,0.42,0.21,0.31
134,Fabio Ferraro,be BEL,"DF,MF",Dender,22,2002,29,29,2524,28.0,1,3,4,1,0,0,5,0,0.04,0.11,0.14,0.04,0.14
135,Nacho Ferri,es ESP,FW,Westerlo,20,2004,36,34,2891,32.1,11,2,13,11,0,0,7,0,0.34,0.06,0.40,0.34,0.40
136,Mathias Fixelles,be BEL,MF,Westerlo,28,1996,4,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
137,Raul Florucz,at AUT,"FW,MF",Union SG,24,2001,24,15,1207,13.4,7,3,10,5,2,2,1,0,0.52,0.22,0.75,0.37,0.60
138,Modibo Fofana,ci CIV,MF,Antwerp,17,2007,2,0,37,0.4,1,0,1,1,0,0,0,0,2.43,0.00,2.43,2.43,2.43
139,Carlos Forbs,pt POR,MF,Club Brugge,21,2004,37,34,2794,31.0,8,8,16,8,0,0,3,0,0.26,0.26,0.52,0.26,0.52
140,Marlon Fossey,us USA,"DF,MF",Standard Liège,26,1998,20,20,1462,16.2,1,2,3,1,0,0,2,1,0.06,0.12,0.18,0.06,0.18
141,Daam Foulon,be BEL,"MF,DF",Antwerp,26,1999,33,29,2279,25.3,0,4,4,0,0,0,7,2,0.00,0.16,0.16,0.00,0.16
142,Guillaume François,be BEL,"DF,FW",Union SG,35,1990,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
