Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
481,Andreas Verstraeten,be BEL,"DF,MF",Antwerp,19,2006,16,9,926,10.3,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10
482,Hugo Vetlesen,no NOR,"MF,FW",Club Brugge,25,2000,25,15,1289,14.3,5,6,11,5,0,0,4,0,0.35,0.42,0.77,0.35,0.77
483,Malcolm Viltard,fr FRA,MF,Dender,22,2002,34,32,2550,28.3,1,1,2,1,0,0,8,1,0.04,0.04,0.07,0.04,0.07
484,Thibault Vlietinck,be BEL,"MF,DF",OH Leuven,27,1997,9,4,333,3.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
485,Matties Volckaert,be BEL,DF,Gent,22,2002,26,25,2229,24.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
486,Jelle Vossen,be BEL,"FW,MF",Zulte Waregem,36,1989,17,4,457,5.1,2,0,2,1,1,1,0,0,0.39,0.00,0.39,0.20,0.20
487,Basile Vroninks,be BEL,DF,Anderlecht,18,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
488,Warleson,br BRA,GK,Cercle Brugge,28,1996,19,18,1557,17.3,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
489,Lukas Willen,be BEL,DF,Zulte Waregem,22,2003,20,16,1440,16.0,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06
490,Rihito Yamamoto,jp JPN,MF,Sint-Truiden,23,2001,38,38,3281,36.5,5,6,11,5,0,0,6,0,0.14,0.16,0.30,0.14,0.30
491,Ayumu Yokoyama,jp JPN,MF,Genk,22,2003,8,2,302,3.4,1,0,1,1,0,0,0,0,0.30,0.00,0.30,0.30,0.30
492,Griffin Yow,us USA,MF,Westerlo,22,2002,16,8,657,7.3,3,0,3,2,1,1,0,0,0.41,0.00,0.41,0.27,0.27
493,Moncef Zekri,ma MAR,MF,Mechelen,16,2008,16,11,824,9.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
494,Besfort Zeneli,se SWE,"MF,FW",Union SG,22,2002,15,8,766,8.5,3,6,9,3,0,0,0,0,0.35,0.70,1.06,0.35,1.06
495,Adem Zorgane,dz ALG,MF,Union SG,25,2000,37,34,2963,32.9,4,4,8,4,0,0,7,0,0.12,0.12,0.24,0.12,0.24
496,Łukasz Łakomy,pl POL,MF,OH Leuven,24,2001,32,25,2113,23.5,3,3,6,3,0,0,6,0,0.13,0.13,0.26,0.13,0.26
